,score,pval
buspar,10.913018,0.00095491
rosh,10.894376,0.00096457
benton,10.885937,0.00096897
adorable,10.87614,0.00097411
child,10.865931,0.00097949
wasd,10.846726,0.00098971
sgs,10.844637,0.00099082
thayers,10.83475,0.00099613
somnophiliac,10.826508,0.00100057
nmom,10.820535,0.0010038
cars,10.787763,0.00102173
moisturized,10.757376,0.00103865
shooting,10.744363,0.00104597
clinically,10.742448,0.00104706
brienne,10.735171,0.00105118
knitting,10.729472,0.00105443
york,10.711715,0.00106459
loneliness,10.701197,0.00107066
uterus,10.655847,0.00109723
dated,10.621524,0.00111779
aspd,10.615778,0.00112127
nebris,10.603841,0.00112853
healthy,10.599741,0.00113103
eleaf,10.524564,0.00117798
uni,10.518705,0.00118172
hypothyroidism,10.501847,0.00119255
veritas,10.479275,0.00120721
celtic,10.446166,0.00122904
solar,10.389586,0.00126728
lip,10.355343,0.001291
divorce,10.335067,0.00130526
wellbutrin,10.332906,0.00130679
intimacy,10.325342,0.00131216
roms,10.290249,0.00133735
alpha,10.254454,0.00136355
ssris,10.24228,0.00137258
skype,10.237795,0.00137592
ganked,10.213049,0.0013945
linkens,10.18714,0.00141424
carbon,10.181227,0.00141878
liverpool,10.161993,0.00143366
also,10.154626,0.0014394
transpeople,10.130861,0.00145807
lovely,10.065737,0.00151052
talked,10.047089,0.00152589
ptsd,10.045476,0.00152723
weaver,10.039735,0.00153199
baby,10.013493,0.00155397
normal,10.007392,0.00155913
counselor,9.982191,0.00158061
companies,9.980099,0.00158241
jealous,9.975329,0.00158652
lina,9.9564,0.00160291
genderqueer,9.945167,0.00161272
wrestlers,9.919879,0.00163503
worse,9.897542,0.001655
out,9.874047,0.00167626
tried,9.855655,0.00169311
wanting,9.831349,0.00171562
bdubs,9.824012,0.00172248
pih,9.809243,0.00173637
caring,9.788148,0.0017564
international,9.776049,0.001768
bha,9.743171,0.0017999
trazadone,9.737037,0.00180592
hado,9.734893,0.00180803
treads,9.722396,0.00182036
instocktrades,9.704902,0.00183777
dont,9.699861,0.00184282
david,9.688942,0.0018538
luvox,9.666408,0.00187668
else,9.641792,0.001902
comforting,9.64031,0.00190353
hobbies,9.632408,0.00191174
tbqh,9.605698,0.00193975
nobilis,9.595612,0.00195043
growth,9.588417,0.00195809
dizziness,9.572252,0.0019754
venlafaxine,9.546232,0.0020036
stay,9.516171,0.00203669
pubs,9.499181,0.00205564
debate,9.49681,0.00205829
find,9.486418,0.00206999
pills,9.479492,0.00207781
calvins,9.448863,0.0021128
anymore,9.442247,0.00212044
amiibos,9.403722,0.00216545
ob,9.399163,0.00217084
anemia,9.38139,0.00219199
constantly,9.341102,0.00224071
cis,9.322368,0.00226373
undertaker,9.32211,0.00226405
slark,9.313782,0.00227437
workers,9.282817,0.00231313
exfoliate,9.278989,0.00231797
miscarriage,9.262969,0.00233834
hannover,9.240162,0.00236764
valiant,9.171044,0.00245874
blablabla,9.162833,0.0024698
amlactin,9.119783,0.0025286
sms,9.102235,0.00255297
hypermobility,9.076052,0.00258979
wanted,9.025677,0.00266213
linings,9.025491,0.0026624
trpers,9.014186,0.00267892
didn,9.010493,0.00268434
jug,9.010241,0.00268471
tmj,8.982229,0.00272618
something,8.977574,0.00273313
offleash,8.947989,0.00277775
nandroid,8.942007,0.00278686
pa,8.932578,0.00280129
thoughts,8.930409,0.00280461
unranked,8.927935,0.00280842
love,8.915756,0.00282721
selfconscious,8.910792,0.0028349
kids,8.909033,0.00283764
kik,8.900707,0.0028506
overview,8.880306,0.00288263
eliquid,8.867471,0.00290297
epidural,8.857092,0.00291952
abyssal,8.817361,0.00298378
serotonin,8.81648,0.00298522
hang,8.800931,0.00301077
been,8.791954,0.00302562
traumatic,8.790383,0.00302823
other,8.788928,0.00303064
broke,8.765933,0.00306909
nasa,8.727556,0.00313436
asocial,8.723849,0.00314074
diffusal,8.722734,0.00314266
contortionist,8.721967,0.00314399
dvz,8.700945,0.00318045
gti,8.676937,0.00322262
aunt,8.672889,0.00322979
cobra,8.668497,0.00323758
glycolic,8.665076,0.00324366
thankful,8.648825,0.00327272
whiteheads,8.641444,0.00328601
went,8.626601,0.00331289
chin,8.626458,0.00331315
struggling,8.622209,0.00332089
marth,8.617543,0.00332941
sniper,8.605804,0.00335093
overheats,8.604058,0.00335415
rheumatologist,8.586832,0.00338603
aquila,8.577931,0.00340262
vyvanse,8.550337,0.00345458
veronica,8.540039,0.00347418
greece,8.538898,0.00347636
shave,8.528699,0.0034959
basher,8.504931,0.00354185
childfree,8.49011,0.00357082
nursery,8.472336,0.00360588
twostory,8.427521,0.00369584
eciggity,8.29292,0.00397999
insecure,8.265733,0.00404003
talking,8.264614,0.00404252
cleanse,8.26398,0.00404394
even,8.262611,0.00404699
felicity,8.244746,0.00408701
yarn,8.229971,0.00412042
acupuncture,8.210575,0.0041647
much,8.207907,0.00417082
sertraline,8.173075,0.00425168
guude,8.172951,0.00425197
borderline,8.147741,0.00431148
hurts,8.066089,0.00451014
always,8.053386,0.00454187
fph,7.993807,0.00469376
piggies,7.982922,0.00472207
reapers,7.955191,0.00479497
